Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,Mean Score
1,0.00025,64,0.99,0.95,[29.62]
2,0.00025,64,0.99,0.95,[28.64]
3,0.00025,64,0.99,0.95,[29.52]
4,0.00025,64,0.99,0.95,[28.16]
5,0.00025,64,0.99,0.95,[29.68]
6,0.00025,64,0.99,0.95,[27.86]
7,0.00025,64,0.99,0.95,[31.96]
8,0.00025,64,0.99,0.95,[23.6]
9,0.00025,64,0.99,0.95,[37.68]
10,0.00025,64,0.99,0.95,[31.7]
11,0.00025,64,0.99,0.95,[28.44]
12,0.00025,64,0.99,0.95,[25.54]
13,0.00025,64,0.99,0.95,[24.58]
14,0.00025,64,0.99,0.95,[26.3]
15,0.00025,64,0.99,0.95,[26.04]
16,0.00025,64,0.99,0.95,[35.02]
17,0.00025,64,0.99,0.95,[31.88]
18,0.00025,64,0.99,0.95,[30.58]
19,0.00025,64,0.99,0.95,[33.44]
20,0.00025,64,0.99,0.95,[27.44]
21,0.00025,64,0.99,0.95,[28.32]
22,0.00025,64,0.99,0.95,[31.]
23,0.00025,64,0.99,0.95,[28.54]
24,0.00025,64,0.99,0.95,[26.64]
25,0.00025,64,0.99,0.95,[28.56]
26,0.00025,64,0.99,0.95,[26.42]
27,0.00025,64,0.99,0.95,[22.7]
28,0.00025,64,0.99,0.95,[29.14]
29,0.00025,64,0.99,0.95,[27.9]
30,0.00025,64,0.99,0.95,[32.4]
31,0.00025,64,0.99,0.95,[28.16]
32,0.00025,64,0.99,0.95,[27.48]
33,0.00025,64,0.99,0.95,[31.5]
34,0.00025,64,0.99,0.95,[27.5]
35,0.00025,64,0.99,0.95,[25.76]
36,0.00025,64,0.99,0.95,[26.98]
37,0.00025,64,0.99,0.95,[28.24]
38,0.00025,64,0.99,0.95,[27.58]
39,0.00025,64,0.99,0.95,[27.74]
40,0.00025,64,0.99,0.95,[29.]
41,0.00025,64,0.99,0.95,[24.86]
42,0.00025,64,0.99,0.95,[30.74]
43,0.00025,64,0.99,0.95,[27.08]
44,0.00025,64,0.99,0.95,[27.9]
45,0.00025,64,0.99,0.95,[32.56]
46,0.00025,64,0.99,0.95,[29.64]
47,0.00025,64,0.99,0.95,[26.76]
48,0.00025,64,0.99,0.95,[27.44]
49,0.00025,64,0.99,0.95,[27.12]
50,0.00025,64,0.99,0.95,[33.62]
51,0.00025,64,0.99,0.95,[26.68]
52,0.00025,64,0.99,0.95,[28.76]
53,0.00025,64,0.99,0.95,[28.34]
54,0.00025,64,0.99,0.95,[31.98]
55,0.00025,64,0.99,0.95,[29.82]
56,0.00025,64,0.99,0.95,[25.68]
57,0.00025,64,0.99,0.95,[32.72]
58,0.00025,64,0.99,0.95,[36.26]
59,0.00025,64,0.99,0.95,[29.14]
60,0.00025,64,0.99,0.95,[27.16]
61,0.00025,64,0.99,0.95,[27.18]
62,0.00025,64,0.99,0.95,[32.7]
63,0.00025,64,0.99,0.95,[30.74]
64,0.00025,64,0.99,0.95,[27.14]
65,0.00025,64,0.99,0.95,[27.78]
66,0.00025,64,0.99,0.95,[26.12]
67,0.00025,64,0.99,0.95,[28.36]
68,0.00025,64,0.99,0.95,[27.04]
69,0.00025,64,0.99,0.95,[31.76]
70,0.00025,64,0.99,0.95,[24.94]
71,0.00025,64,0.99,0.95,[33.36]
72,0.00025,64,0.99,0.95,[24.8]
73,0.00025,64,0.99,0.95,[28.98]
74,0.00025,64,0.99,0.95,[27.74]
75,0.00025,64,0.99,0.95,[30.04]
76,0.00025,64,0.99,0.95,[28.54]
77,0.00025,64,0.99,0.95,[29.02]
78,0.00025,64,0.99,0.95,[29.12]
79,0.00025,64,0.99,0.95,[34.28]
80,0.00025,64,0.99,0.95,[28.]
81,0.00025,64,0.99,0.95,[30.7]
82,0.00025,64,0.99,0.95,[24.84]
83,0.00025,64,0.99,0.95,[27.38]
84,0.00025,64,0.99,0.95,[30.26]
85,0.00025,64,0.99,0.95,[29.04]
86,0.00025,64,0.99,0.95,[28.44]
87,0.00025,64,0.99,0.95,[28.78]
88,0.00025,64,0.99,0.95,[30.24]
89,0.00025,64,0.99,0.95,[25.06]
90,0.00025,64,0.99,0.95,[24.52]
91,0.00025,64,0.99,0.95,[34.76]
92,0.00025,64,0.99,0.95,[26.84]
93,0.00025,64,0.99,0.95,[28.56]
94,0.00025,64,0.99,0.95,[33.88]
95,0.00025,64,0.99,0.95,[29.86]
96,0.00025,64,0.99,0.95,[29.24]
97,0.00025,64,0.99,0.95,[28.44]
98,0.00025,64,0.99,0.95,[32.32]
99,0.00025,64,0.99,0.95,[26.88]
100,0.00025,64,0.99,0.95,[32.7]
101,0.00025,64,0.99,0.95,[33.34]
102,0.00025,64,0.99,0.95,[31.6]
103,0.00025,64,0.99,0.95,[27.38]
104,0.00025,64,0.99,0.95,[31.2]
105,0.00025,64,0.99,0.95,[29.68]
106,0.00025,64,0.99,0.95,[34.76]
107,0.00025,64,0.99,0.95,[30.14]
108,0.00025,64,0.99,0.95,[26.82]
109,0.00025,64,0.99,0.95,[33.96]
110,0.00025,64,0.99,0.95,[28.14]
111,0.00025,64,0.99,0.95,[31.04]
112,0.00025,64,0.99,0.95,[28.82]
113,0.00025,64,0.99,0.95,[24.48]
114,0.00025,64,0.99,0.95,[31.6]
115,0.00025,64,0.99,0.95,[26.44]
116,0.00025,64,0.99,0.95,[25.78]
117,0.00025,64,0.99,0.95,[29.64]
118,0.00025,64,0.99,0.95,[24.82]
119,0.00025,64,0.99,0.95,[32.32]
120,0.00025,64,0.99,0.95,[25.84]
121,0.00025,64,0.99,0.95,[31.46]
122,0.00025,64,0.99,0.95,[26.56]
123,0.00025,64,0.99,0.95,[29.28]
124,0.00025,64,0.99,0.95,[29.7]
125,0.00025,64,0.99,0.95,[32.22]
126,0.00025,64,0.99,0.95,[28.94]
127,0.00025,64,0.99,0.95,[27.02]
128,0.00025,64,0.99,0.95,[30.58]
129,0.00025,64,0.99,0.95,[26.36]
130,0.00025,64,0.99,0.95,[27.32]
131,0.00025,64,0.99,0.95,[28.32]
132,0.00025,64,0.99,0.95,[24.38]
133,0.00025,64,0.99,0.95,[25.7]
134,0.00025,64,0.99,0.95,[24.9]
135,0.00025,64,0.99,0.95,[28.06]
136,0.00025,64,0.99,0.95,[26.92]
137,0.00025,64,0.99,0.95,[36.3]
138,0.00025,64,0.99,0.95,[27.68]
139,0.00025,64,0.99,0.95,[32.72]
140,0.00025,64,0.99,0.95,[29.78]
141,0.00025,64,0.99,0.95,[28.04]
142,0.00025,64,0.99,0.95,[25.48]
143,0.00025,64,0.99,0.95,[32.48]
144,0.00025,64,0.99,0.95,[27.24]
145,0.00025,64,0.99,0.95,[30.8]
146,0.00025,64,0.99,0.95,[27.54]
147,0.00025,64,0.99,0.95,[33.98]
148,0.00025,64,0.99,0.95,[25.94]
149,0.00025,64,0.99,0.95,[29.82]
150,0.00025,64,0.99,0.95,[28.56]
151,0.00025,64,0.99,0.95,[30.42]
152,0.00025,64,0.99,0.95,[32.86]
153,0.00025,64,0.99,0.95,[30.08]
154,0.00025,64,0.99,0.95,[27.8]
155,0.00025,64,0.99,0.95,[28.58]
156,0.00025,64,0.99,0.95,[31.36]
157,0.00025,64,0.99,0.95,[26.16]
158,0.00025,64,0.99,0.95,[32.98]
159,0.00025,64,0.99,0.95,[21.96]
160,0.00025,64,0.99,0.95,[26.84]
161,0.00025,64,0.99,0.95,[26.58]
162,0.00025,64,0.99,0.95,[26.04]
163,0.00025,64,0.99,0.95,[32.58]
164,0.00025,64,0.99,0.95,[28.26]
165,0.00025,64,0.99,0.95,[32.82]
166,0.00025,64,0.99,0.95,[27.8]
167,0.00025,64,0.99,0.95,[24.38]
168,0.00025,64,0.99,0.95,[32.18]
169,0.00025,64,0.99,0.95,[26.18]
170,0.00025,64,0.99,0.95,[29.86]
171,0.00025,64,0.99,0.95,[26.78]
172,0.00025,64,0.99,0.95,[25.72]
173,0.00025,64,0.99,0.95,[28.74]
174,0.00025,64,0.99,0.95,[29.14]
175,0.00025,64,0.99,0.95,[26.74]
176,0.00025,64,0.99,0.95,[29.18]
177,0.00025,64,0.99,0.95,[28.16]
178,0.00025,64,0.99,0.95,[30.22]
179,0.00025,64,0.99,0.95,[28.2]
180,0.00025,64,0.99,0.95,[31.26]
181,0.00025,64,0.99,0.95,[24.96]
182,0.00025,64,0.99,0.95,[31.08]
183,0.00025,64,0.99,0.95,[30.18]
184,0.00025,64,0.99,0.95,[27.36]
185,0.00025,64,0.99,0.95,[28.18]
186,0.00025,64,0.99,0.95,[29.34]
187,0.00025,64,0.99,0.95,[26.7]
188,0.00025,64,0.99,0.95,[27.94]
189,0.00025,64,0.99,0.95,[31.74]
190,0.00025,64,0.99,0.95,[28.04]
191,0.00025,64,0.99,0.95,[27.86]
192,0.00025,64,0.99,0.95,[33.32]
193,0.00025,64,0.99,0.95,[25.86]
194,0.00025,64,0.99,0.95,[25.52]
195,0.00025,64,0.99,0.95,[27.66]
196,0.00025,64,0.99,0.95,[26.32]
197,0.00025,64,0.99,0.95,[34.8]
198,0.00025,64,0.99,0.95,[28.26]
199,0.00025,64,0.99,0.95,[30.26]
200,0.00025,64,0.99,0.95,[30.32]
201,0.00025,64,0.99,0.95,[26.5]
202,0.00025,64,0.99,0.95,[26.18]
203,0.00025,64,0.99,0.95,[26.38]
204,0.00025,64,0.99,0.95,[28.2]
205,0.00025,64,0.99,0.95,[26.2]
206,0.00025,64,0.99,0.95,[24.94]
207,0.00025,64,0.99,0.95,[22.7]
208,0.00025,64,0.99,0.95,[32.68]
209,0.00025,64,0.99,0.95,[26.44]
210,0.00025,64,0.99,0.95,[26.42]
211,0.00025,64,0.99,0.95,[34.36]
212,0.00025,64,0.99,0.95,[26.76]
213,0.00025,64,0.99,0.95,[34.56]
214,0.00025,64,0.99,0.95,[26.4]
215,0.00025,64,0.99,0.95,[26.28]
216,0.00025,64,0.99,0.95,[27.1]
217,0.00025,64,0.99,0.95,[30.38]
218,0.00025,64,0.99,0.95,[28.36]
219,0.00025,64,0.99,0.95,[26.7]
220,0.00025,64,0.99,0.95,[28.08]
221,0.00025,64,0.99,0.95,[26.54]
222,0.00025,64,0.99,0.95,[30.82]
223,0.00025,64,0.99,0.95,[28.34]
224,0.00025,64,0.99,0.95,[29.9]
225,0.00025,64,0.99,0.95,[36.44]
226,0.00025,64,0.99,0.95,[24.32]
227,0.00025,64,0.99,0.95,[28.82]
228,0.00025,64,0.99,0.95,[27.38]
229,0.00025,64,0.99,0.95,[29.02]
230,0.00025,64,0.99,0.95,[32.54]
231,0.00025,64,0.99,0.95,[23.86]
232,0.00025,64,0.99,0.95,[23.62]
233,0.00025,64,0.99,0.95,[26.12]
234,0.00025,64,0.99,0.95,[31.54]
235,0.00025,64,0.99,0.95,[30.98]
236,0.00025,64,0.99,0.95,[28.46]
237,0.00025,64,0.99,0.95,[22.8]
238,0.00025,64,0.99,0.95,[31.08]
239,0.00025,64,0.99,0.95,[34.12]
240,0.00025,64,0.99,0.95,[37.3]
241,0.00025,64,0.99,0.95,[27.46]
242,0.00025,64,0.99,0.95,[26.18]
243,0.00025,64,0.99,0.95,[27.34]
244,0.00025,64,0.99,0.95,[27.4]
245,0.00025,64,0.99,0.95,[26.3]
246,0.00025,64,0.99,0.95,[24.52]
247,0.00025,64,0.99,0.95,[22.86]
248,0.00025,64,0.99,0.95,[26.68]
249,0.00025,64,0.99,0.95,[28.42]
250,0.00025,64,0.99,0.95,[25.3]
251,0.00025,64,0.99,0.95,[34.38]
252,0.00025,64,0.99,0.95,[25.34]
253,0.00025,64,0.99,0.95,[29.94]
254,0.00025,64,0.99,0.95,[28.6]
255,0.00025,64,0.99,0.95,[37.38]
256,0.00025,64,0.99,0.95,[32.46]
257,0.00025,64,0.99,0.95,[34.12]
258,0.00025,64,0.99,0.95,[29.88]
259,0.00025,64,0.99,0.95,[26.48]
260,0.00025,64,0.99,0.95,[28.48]
261,0.00025,64,0.99,0.95,[29.88]
262,0.00025,64,0.99,0.95,[31.34]
263,0.00025,64,0.99,0.95,[30.24]
264,0.00025,64,0.99,0.95,[27.02]
265,0.00025,64,0.99,0.95,[23.94]
266,0.00025,64,0.99,0.95,[32.7]
267,0.00025,64,0.99,0.95,[33.34]
268,0.00025,64,0.99,0.95,[21.9]
269,0.00025,64,0.99,0.95,[29.5]
270,0.00025,64,0.99,0.95,[26.48]
271,0.00025,64,0.99,0.95,[31.14]
272,0.00025,64,0.99,0.95,[32.1]
273,0.00025,64,0.99,0.95,[27.32]
274,0.00025,64,0.99,0.95,[28.08]
275,0.00025,64,0.99,0.95,[27.52]
276,0.00025,64,0.99,0.95,[23.68]
277,0.00025,64,0.99,0.95,[25.54]
278,0.00025,64,0.99,0.95,[28.1]
279,0.00025,64,0.99,0.95,[24.36]
280,0.00025,64,0.99,0.95,[30.9]
281,0.00025,64,0.99,0.95,[26.36]
282,0.00025,64,0.99,0.95,[26.18]
283,0.00025,64,0.99,0.95,[24.18]
284,0.00025,64,0.99,0.95,[28.72]
285,0.00025,64,0.99,0.95,[25.34]
286,0.00025,64,0.99,0.95,[25.44]
287,0.00025,64,0.99,0.95,[29.44]
288,0.00025,64,0.99,0.95,[29.02]
289,0.00025,64,0.99,0.95,[28.78]
290,0.00025,64,0.99,0.95,[30.88]
291,0.00025,64,0.99,0.95,[27.92]
292,0.00025,64,0.99,0.95,[28.1]
293,0.00025,64,0.99,0.95,[35.66]
294,0.00025,64,0.99,0.95,[30.84]
295,0.00025,64,0.99,0.95,[29.52]
296,0.00025,64,0.99,0.95,[30.26]
297,0.00025,64,0.99,0.95,[34.9]
298,0.00025,64,0.99,0.95,[33.84]
299,0.00025,64,0.99,0.95,[28.5]
300,0.00025,64,0.99,0.95,[22.74]
301,0.00025,64,0.99,0.95,[29.52]
302,0.00025,64,0.99,0.95,[31.24]
303,0.00025,64,0.99,0.95,[35.42]
304,0.00025,64,0.99,0.95,[29.14]
305,0.00025,64,0.99,0.95,[28.14]
306,0.00025,64,0.99,0.95,[30.92]
307,0.00025,64,0.99,0.95,[26.82]
308,0.00025,64,0.99,0.95,[20.96]
309,0.00025,64,0.99,0.95,[25.2]
310,0.00025,64,0.99,0.95,[32.44]
311,0.00025,64,0.99,0.95,[24.84]
312,0.00025,64,0.99,0.95,[28.5]
313,0.00025,64,0.99,0.95,[29.38]
314,0.00025,64,0.99,0.95,[32.34]
315,0.00025,64,0.99,0.95,[32.28]
316,0.00025,64,0.99,0.95,[31.44]
317,0.00025,64,0.99,0.95,[29.1]
318,0.00025,64,0.99,0.95,[23.42]
319,0.00025,64,0.99,0.95,[24.48]
320,0.00025,64,0.99,0.95,[26.5]
321,0.00025,64,0.99,0.95,[32.02]
322,0.00025,64,0.99,0.95,[25.74]
323,0.00025,64,0.99,0.95,[25.5]
324,0.00025,64,0.99,0.95,[27.82]
325,0.00025,64,0.99,0.95,[25.44]
326,0.00025,64,0.99,0.95,[25.76]
327,0.00025,64,0.99,0.95,[29.28]
328,0.00025,64,0.99,0.95,[24.98]
329,0.00025,64,0.99,0.95,[29.86]
330,0.00025,64,0.99,0.95,[30.22]
331,0.00025,64,0.99,0.95,[27.42]
332,0.00025,64,0.99,0.95,[28.6]
333,0.00025,64,0.99,0.95,[30.48]
334,0.00025,64,0.99,0.95,[26.84]
335,0.00025,64,0.99,0.95,[29.74]
336,0.00025,64,0.99,0.95,[31.88]
337,0.00025,64,0.99,0.95,[22.04]
338,0.00025,64,0.99,0.95,[32.5]
339,0.00025,64,0.99,0.95,[24.9]
340,0.00025,64,0.99,0.95,[28.52]
341,0.00025,64,0.99,0.95,[30.1]
342,0.00025,64,0.99,0.95,[30.58]
343,0.00025,64,0.99,0.95,[28.3]
344,0.00025,64,0.99,0.95,[28.74]
345,0.00025,64,0.99,0.95,[30.62]
346,0.00025,64,0.99,0.95,[27.68]
347,0.00025,64,0.99,0.95,[28.64]
348,0.00025,64,0.99,0.95,[26.22]
349,0.00025,64,0.99,0.95,[28.12]
350,0.00025,64,0.99,0.95,[28.12]
351,0.00025,64,0.99,0.95,[30.08]
352,0.00025,64,0.99,0.95,[25.58]
353,0.00025,64,0.99,0.95,[30.28]
354,0.00025,64,0.99,0.95,[26.92]
355,0.00025,64,0.99,0.95,[27.64]
356,0.00025,64,0.99,0.95,[29.12]
357,0.00025,64,0.99,0.95,[31.44]
358,0.00025,64,0.99,0.95,[29.32]
359,0.00025,64,0.99,0.95,[29.32]
360,0.00025,64,0.99,0.95,[30.44]
361,0.00025,64,0.99,0.95,[30.9]
362,0.00025,64,0.99,0.95,[33.06]
363,0.00025,64,0.99,0.95,[36.58]
364,0.00025,64,0.99,0.95,[29.34]
365,0.00025,64,0.99,0.95,[30.5]
366,0.00025,64,0.99,0.95,[25.34]
367,0.00025,64,0.99,0.95,[27.]
368,0.00025,64,0.99,0.95,[30.68]
369,0.00025,64,0.99,0.95,[29.46]
370,0.00025,64,0.99,0.95,[29.6]
371,0.00025,64,0.99,0.95,[27.42]
372,0.00025,64,0.99,0.95,[28.48]
373,0.00025,64,0.99,0.95,[26.36]
374,0.00025,64,0.99,0.95,[26.36]
375,0.00025,64,0.99,0.95,[30.08]
376,0.00025,64,0.99,0.95,[25.94]
377,0.00025,64,0.99,0.95,[28.78]
378,0.00025,64,0.99,0.95,[24.06]
379,0.00025,64,0.99,0.95,[31.32]
380,0.00025,64,0.99,0.95,[26.42]
381,0.00025,64,0.99,0.95,[37.24]
382,0.00025,64,0.99,0.95,[29.56]
383,0.00025,64,0.99,0.95,[26.88]
384,0.00025,64,0.99,0.95,[36.22]
385,0.00025,64,0.99,0.95,[31.32]
386,0.00025,64,0.99,0.95,[25.74]
387,0.00025,64,0.99,0.95,[31.62]
388,0.00025,64,0.99,0.95,[26.44]
389,0.00025,64,0.99,0.95,[34.12]
390,0.00025,64,0.99,0.95,[25.28]
391,0.00025,64,0.99,0.95,[36.46]
392,0.00025,64,0.99,0.95,[22.78]
393,0.00025,64,0.99,0.95,[29.16]
394,0.00025,64,0.99,0.95,[31.08]
395,0.00025,64,0.99,0.95,[34.14]
396,0.00025,64,0.99,0.95,[23.4]
397,0.00025,64,0.99,0.95,[24.]
398,0.00025,64,0.99,0.95,[28.98]
399,0.00025,64,0.99,0.95,[26.92]
400,0.00025,64,0.99,0.95,[29.62]
401,0.00025,64,0.99,0.95,[30.8]
402,0.00025,64,0.99,0.95,[29.46]
403,0.00025,64,0.99,0.95,[30.96]
404,0.00025,64,0.99,0.95,[32.86]
405,0.00025,64,0.99,0.95,[29.72]
406,0.00025,64,0.99,0.95,[27.06]
407,0.00025,64,0.99,0.95,[26.48]
408,0.00025,64,0.99,0.95,[25.32]
409,0.00025,64,0.99,0.95,[30.14]
410,0.00025,64,0.99,0.95,[25.46]
411,0.00025,64,0.99,0.95,[30.74]
412,0.00025,64,0.99,0.95,[25.58]
413,0.00025,64,0.99,0.95,[33.68]
414,0.00025,64,0.99,0.95,[33.78]
415,0.00025,64,0.99,0.95,[30.84]
416,0.00025,64,0.99,0.95,[34.8]
417,0.00025,64,0.99,0.95,[28.7]
418,0.00025,64,0.99,0.95,[35.18]
419,0.00025,64,0.99,0.95,[29.5]
420,0.00025,64,0.99,0.95,[30.24]
421,0.00025,64,0.99,0.95,[28.22]
422,0.00025,64,0.99,0.95,[30.26]
423,0.00025,64,0.99,0.95,[31.92]
424,0.00025,64,0.99,0.95,[28.4]
425,0.00025,64,0.99,0.95,[26.78]
426,0.00025,64,0.99,0.95,[27.94]
427,0.00025,64,0.99,0.95,[29.38]
428,0.00025,64,0.99,0.95,[28.44]
429,0.00025,64,0.99,0.95,[32.8]
430,0.00025,64,0.99,0.95,[34.98]
431,0.00025,64,0.99,0.95,[25.1]
432,0.00025,64,0.99,0.95,[28.7]
433,0.00025,64,0.99,0.95,[29.02]
434,0.00025,64,0.99,0.95,[27.46]
435,0.00025,64,0.99,0.95,[33.72]
436,0.00025,64,0.99,0.95,[28.98]
437,0.00025,64,0.99,0.95,[29.78]
438,0.00025,64,0.99,0.95,[29.68]
439,0.00025,64,0.99,0.95,[34.66]
440,0.00025,64,0.99,0.95,[29.86]
441,0.00025,64,0.99,0.95,[34.04]
442,0.00025,64,0.99,0.95,[29.78]
443,0.00025,64,0.99,0.95,[27.74]
444,0.00025,64,0.99,0.95,[28.38]
445,0.00025,64,0.99,0.95,[26.54]
446,0.00025,64,0.99,0.95,[25.22]
447,0.00025,64,0.99,0.95,[29.56]
448,0.00025,64,0.99,0.95,[30.46]
449,0.00025,64,0.99,0.95,[29.7]
450,0.00025,64,0.99,0.95,[26.74]
451,0.00025,64,0.99,0.95,[25.74]
452,0.00025,64,0.99,0.95,[33.16]
453,0.00025,64,0.99,0.95,[25.66]
454,0.00025,64,0.99,0.95,[24.18]
455,0.00025,64,0.99,0.95,[25.68]
456,0.00025,64,0.99,0.95,[29.42]
457,0.00025,64,0.99,0.95,[29.16]
458,0.00025,64,0.99,0.95,[28.32]
459,0.00025,64,0.99,0.95,[28.5]
460,0.00025,64,0.99,0.95,[31.88]
461,0.00025,64,0.99,0.95,[28.86]
462,0.00025,64,0.99,0.95,[27.6]
463,0.00025,64,0.99,0.95,[25.4]
464,0.00025,64,0.99,0.95,[28.24]
465,0.00025,64,0.99,0.95,[29.5]
466,0.00025,64,0.99,0.95,[27.66]
467,0.00025,64,0.99,0.95,[31.44]
468,0.00025,64,0.99,0.95,[29.98]
469,0.00025,64,0.99,0.95,[29.58]
470,0.00025,64,0.99,0.95,[26.74]
471,0.00025,64,0.99,0.95,[26.82]
472,0.00025,64,0.99,0.95,[24.48]
473,0.00025,64,0.99,0.95,[33.42]
474,0.00025,64,0.99,0.95,[27.64]
475,0.00025,64,0.99,0.95,[34.2]
476,0.00025,64,0.99,0.95,[27.36]
477,0.00025,64,0.99,0.95,[26.9]
478,0.00025,64,0.99,0.95,[27.64]
479,0.00025,64,0.99,0.95,[31.82]
480,0.00025,64,0.99,0.95,[29.38]
481,0.00025,64,0.99,0.95,[29.2]
482,0.00025,64,0.99,0.95,[24.38]
483,0.00025,64,0.99,0.95,[30.42]
484,0.00025,64,0.99,0.95,[30.18]
485,0.00025,64,0.99,0.95,[24.1]
486,0.00025,64,0.99,0.95,[29.4]
487,0.00025,64,0.99,0.95,[30.64]
488,0.00025,64,0.99,0.95,[28.26]
489,0.00025,64,0.99,0.95,[27.6]
490,0.00025,64,0.99,0.95,[25.54]
491,0.00025,64,0.99,0.95,[32.58]
492,0.00025,64,0.99,0.95,[29.2]
493,0.00025,64,0.99,0.95,[26.22]
494,0.00025,64,0.99,0.95,[31.02]
495,0.00025,64,0.99,0.95,[30.36]
496,0.00025,64,0.99,0.95,[25.52]
497,0.00025,64,0.99,0.95,[30.98]
498,0.00025,64,0.99,0.95,[25.88]
499,0.00025,64,0.99,0.95,[29.9]
500,0.00025,64,0.99,0.95,[29.22]
501,0.00025,64,0.99,0.95,[28.62]
502,0.00025,64,0.99,0.95,[28.62]
503,0.00025,64,0.99,0.95,[24.54]
504,0.00025,64,0.99,0.95,[33.56]
505,0.00025,64,0.99,0.95,[28.8]
506,0.00025,64,0.99,0.95,[27.68]
507,0.00025,64,0.99,0.95,[29.46]
508,0.00025,64,0.99,0.95,[28.64]
509,0.00025,64,0.99,0.95,[26.58]
510,0.00025,64,0.99,0.95,[26.56]
511,0.00025,64,0.99,0.95,[28.52]
512,0.00025,64,0.99,0.95,[25.24]
513,0.00025,64,0.99,0.95,[24.74]
