Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted
Acrobot,10000,PPO,8.361,-485.8,28.4,
Acrobot,10000,TD3,,,,
Acrobot,10000,DDPG,,,,
Acrobot,10000,A2C,10.522,-500,0,
Acrobot,10000,SAC,,,,
Acrobot,10000,DQN,1.369,-500,0,
Acrobot,20000,PPO,14.461,-112.4,10.287857,
Acrobot,20000,TD3,,,,
Acrobot,20000,DDPG,,,,
Acrobot,20000,A2C,17.401,-78.9,4.915,
Acrobot,20000,SAC,,,,
Acrobot,20000,DQN,2.629,-500,0,
Acrobot,50000,PPO,36.282,-96,35.883144,
Acrobot,50000,TD3,,,,
Acrobot,50000,DDPG,,,,
Acrobot,50000,A2C,43.564,-86.4,5.986652,
Acrobot,50000,SAC,,,,
Acrobot,50000,DQN,6.664,-500,0,
Acrobot,100000,PPO,75.639,-87.2,15.341448,
Acrobot,100000,TD3,,,,
Acrobot,100000,DDPG,,,,
Acrobot,100000,A2C,98.01,-78,6.9570107,
Acrobot,100000,SAC,,,,
Acrobot,100000,DQN,38.454,-319.4,111.14243,
Acrobot,500000,PPO,363.779,-80,12.280066,
Acrobot,500000,TD3,,,,
Acrobot,500000,DDPG,,,,
Acrobot,500000,A2C,441.76,-500,0,
Acrobot,500000,SAC,,,,
Acrobot,500000,DQN,283.282,-292,110.60018,
Acrobot,1000000,PPO,745.305,-75.2,11.889491,
Acrobot,1000000,TD3,,,,
Acrobot,1000000,DDPG,,,,
Acrobot,1000000,A2C,907.112,-100.6,20.538744,
Acrobot,1000000,SAC,,,,
Acrobot,1000000,DQN,575.46,-143,49.66286,
Acrobot,10000000,PPO,7092.319,-65.4,8.333066,
Bipedal Walker,10000,PPO,9.513,-111.4835,3.8835428,
Bipedal Walker,10000,TD3,63.943,-112.704445,1.3269101,
Bipedal Walker,10000,DDPG,62.789,-119.42415,7.571978,
Bipedal Walker,10000,A2C,11.85,-103.122986,4.033402,
Bipedal Walker,10000,SAC,104.294,-104.836624,8.900319,
Bipedal Walker,10000,DQN,,,,
Bipedal Walker,20000,PPO,18.294,102.3669,13.998786,
Bipedal Walker,20000,TD3,127.915,-108.44548,9.176668,
Bipedal Walker,20000,DDPG,134.839,-115.534035,1.0513079,
Bipedal Walker,20000,A2C,20.525,-122.843,15.067,
Bipedal Walker,20000,SAC,212.496,-106.488235,1.7181516,
Bipedal Walker,20000,DQN,,,,
Bipedal Walker,50000,PPO,43.503,-79.44371,4.41768,
Bipedal Walker,50000,TD3,316.27,-100.35048,9.323173,
Bipedal Walker,50000,DDPG,321.621,-177.4593,0.05677439,
Bipedal Walker,50000,A2C,52.863,-115.42018,13.721098,
Bipedal Walker,50000,SAC,547.723,-69.49937,26.774286,
Bipedal Walker,50000,DQN,,,,
Bipedal Walker,100000,PPO,85.42,-46.413807,76.49699,
Bipedal Walker,100000,TD3,629.456,-173.91507,0.2685722,
Bipedal Walker,100000,DDPG,704.908,-147.45622,14.821654,
Bipedal Walker,100000,A2C,106.876,-114.124756,4.3995395,
Bipedal Walker,100000,SAC,1057.071,-57.160896,3.081331,
Bipedal Walker,100000,DQN,,,,
Bipedal Walker,500000,PPO,431.475,185.91707,149.36203,
Bipedal Walker,500000,TD3,3826.554,-46.24459,5.6881633,
Bipedal Walker,500000,DDPG,3615.737,264.29364,1.1356287,
Bipedal Walker,500000,A2C,537.706,-109.446335,0.9276891,
Bipedal Walker,500000,SAC,5429.031,231.44133,104.715744,
Bipedal Walker,500000,DQN,,,,
Bipedal Walker,1000000,PPO,866.966,223.69023,128.0601,
Bipedal Walker,1000000,TD3,6992.323,301.48047,1.0981765,
Bipedal Walker,1000000,DDPG,6965.969,-168.24022,26.668564,
Bipedal Walker,1000000,A2C,1062.135,-178.50919,0.14781088,
Bipedal Walker,1000000,SAC,11983.362,319.67926,0.5158579,
Bipedal Walker,1000000,DQN,,,,
,,,,,,
Car Racing,10000,PPO,85.472,-60.535744,4.472119,
Car Racing,10000,TD3,,,,
Car Racing,10000,DDPG,,,,
Car Racing,10000,A2C,75.268,-78.12112,2.6398747,
Car Racing,10000,SAC,,,,
Car Racing,10000,DQN,,,,
Car Racing,20000,PPO,179.612,-75.62235,4.157644,
Car Racing,20000,TD3,,,,
Car Racing,20000,DDPG,,,,
Car Racing,20000,A2C,155.797,-82.035675,0.61675817,
Car Racing,20000,SAC,,,,
Car Racing,20000,DQN,,,,
Car Racing,50000,PPO,417.75,-26.558294,36.477592,
Car Racing,50000,TD3,,,,
Car Racing,50000,DDPG,,,,
Car Racing,50000,A2C,465.695,-77.37423,2.4012325,
Car Racing,50000,SAC,,,,
Car Racing,50000,DQN,,,,
Car Racing,100000,PPO,853.078,-66.30667,68.93006,
Car Racing,100000,TD3,,,,
Car Racing,100000,DDPG,,,,
Car Racing,100000,A2C,880.462,-84.60599,2.2552202,
Car Racing,100000,SAC,,,,
Car Racing,100000,DQN,,,,
Car Racing,500000,PPO,4401.912,-41.559452,27.394087,
Car Racing,500000,TD3,,,,
Car Racing,500000,DDPG,,,,
Car Racing,500000,A2C,4773.544,-93.623215,0.25353688,
Car Racing,500000,SAC,,,,
Car Racing,500000,DQN,,,,
Car Racing,1000000,PPO,8698.89,-44.29207,20.08010574,
Car Racing,1000000,TD3,,,,
Car Racing,1000000,DDPG,,,,
Car Racing,1000000,A2C,11102.544,-82.86228,1.2817516,
Car Racing,1000000,SAC,,,,
Car Racing,1000000,DQN,,,,
,,,,,,
Lunar Lander,10000,PPO,8.575,-96.049,22.385157,
Lunar Lander,10000,TD3,,,,
Lunar Lander,10000,DDPG,,,,
Lunar Lander,10000,A2C,12.642,-126.12459,106.97699,
Lunar Lander,10000,SAC,,,,
Lunar Lander,10000,DQN,1.929,-94.59855,60.399483,
Lunar Lander,20000,PPO,17.099,-96.45811,64.91653,
Lunar Lander,20000,TD3,,,,
Lunar Lander,20000,DDPG,,,,
Lunar Lander,20000,A2C,28.725,27.451954,46.3566,
Lunar Lander,20000,SAC,,,,
Lunar Lander,20000,DQN,3.84,-188.00085,87.888596,
Lunar Lander,50000,PPO,43.935,-109.666016,91.20218,
Lunar Lander,50000,TD3,,,,
Lunar Lander,50000,DDPG,,,,
Lunar Lander,50000,A2C,59.419,-12.912621,51.653828,
Lunar Lander,50000,SAC,,,,
Lunar Lander,50000,DQN,10.312,-574.57825,178.02576,
Lunar Lander,100000,PPO,113.176,-90.77776,31.022755,
Lunar Lander,100000,TD3,,,,
Lunar Lander,100000,DDPG,,,,
Lunar Lander,100000,A2C,122.723,157.8552,107.73383,
Lunar Lander,100000,SAC,,,,
Lunar Lander,100000,DQN,93.403,-75.24822,42.16203,
Lunar Lander,500000,PPO,694.405,110.778076,78.8606,
Lunar Lander,500000,TD3,,,,
Lunar Lander,500000,DDPG,,,,
Lunar Lander,500000,A2C,920.999,-64.1053,67.37763,
Lunar Lander,500000,SAC,,,,
Lunar Lander,500000,DQN,879.037,-17.789785,31.446667,
Lunar Lander,1000000,PPO,1072.154,186.84024,134.75362,
Lunar Lander,1000000,TD3,,,,
Lunar Lander,1000000,DDPG,,,,
Lunar Lander,1000000,A2C,2017.205,5.348569,136.14886,
Lunar Lander,1000000,SAC,,,,
Lunar Lander,1000000,DQN,1540.478,2.903672,11.889485,
,,,,,,
Cart Pole,10000,PPO,7.813,202.2,41.242695,
Cart Pole,10000,TD3,,,,
Cart Pole,10000,DDPG,,,,
Cart Pole,10000,A2C,9.068,219.8,38.43124,
Cart Pole,10000,SAC,,,,
Cart Pole,10000,DQN,0.947,30.2,3.2496154,
Cart Pole,20000,PPO,14.156,279,118.321594,
Cart Pole,20000,TD3,,,,
Cart Pole,20000,DDPG,,,,
Cart Pole,20000,A2C,17.257,135.2,9.108,
Cart Pole,20000,SAC,,,,
Cart Pole,20000,DQN,1.942,23,4.427189,
Cart Pole,50000,PPO,32.98,500,0,
Cart Pole,50000,TD3,,,,
Cart Pole,50000,DDPG,,,,
Cart Pole,50000,A2C,43.052,500,0,
Cart Pole,50000,SAC,,,,
Cart Pole,50000,DQN,4.639,9.8,0.4,
Cart Pole,100000,PPO,66.964,500,0,
Cart Pole,100000,TD3,,,,
Cart Pole,100000,DDPG,,,,
Cart Pole,100000,A2C,82.073,500,0,
Cart Pole,100000,SAC,,,,
Cart Pole,100000,DQN,38.358,166.6,11.056219,
Cart Pole,500000,PPO,324.14,500,0,
Cart Pole,500000,TD3,,,,
Cart Pole,500000,DDPG,,,,
Cart Pole,500000,A2C,398.486,500,0,
Cart Pole,500000,SAC,,,,
Cart Pole,500000,DQN,239.871,101.6,2.0591261,
Cart Pole,1000000,PPO,679.817,500,0,
Cart Pole,1000000,TD3,,,,
Cart Pole,1000000,DDPG,,,,
Cart Pole,1000000,A2C,1105.034,500,0,
Cart Pole,1000000,SAC,,,,
Cart Pole,1000000,DQN,617.537,455.2,67.62958,
,,,,,,
Mountain Car,10000,PPO,7.507,-200,0,
Mountain Car,10000,TD3,,,,
Mountain Car,10000,DDPG,,,,
Mountain Car,10000,A2C,10.08,-200,0,
Mountain Car,10000,SAC,,,,
Mountain Car,10000,DQN,0.964,-200,0,
Mountain Car,20000,PPO,14.968,-200,0,
Mountain Car,20000,TD3,,,,
Mountain Car,20000,DDPG,,,,
Mountain Car,20000,A2C,17.364,-200,0,
Mountain Car,20000,SAC,,,,
Mountain Car,20000,DQN,1.81,-200,0,
Mountain Car,50000,PPO,36.713,-200,0,
Mountain Car,50000,TD3,,,,
Mountain Car,50000,DDPG,,,,
Mountain Car,50000,A2C,44.006,-200,0,
Mountain Car,50000,SAC,,,,
Mountain Car,50000,DQN,4.612,-200,0,
Mountain Car,100000,PPO,66.623,-200,0,
Mountain Car,100000,TD3,,,,
Mountain Car,100000,DDPG,,,,
Mountain Car,100000,A2C,83.129,-200,0,
Mountain Car,100000,SAC,,,,
Mountain Car,100000,DQN,32.082,-200,0,
Mountain Car,500000,PPO,334.29,-200,0,
Mountain Car,500000,TD3,,,,
Mountain Car,500000,DDPG,,,,
Mountain Car,500000,A2C,417.818,-200,0,
Mountain Car,500000,SAC,,,,
Mountain Car,500000,DQN,251.359,-200,0,
Mountain Car,1000000,PPO,780.895,-115.2,4.4452224,
Mountain Car,1000000,TD3,,,,
Mountain Car,1000000,DDPG,,,,
Mountain Car,1000000,A2C,1132.49,-200,0,
Mountain Car,1000000,SAC,,,,
Mountain Car,1000000,DQN,699.428,-200,0,
,,,,,,
Mountain Car Continuous,10000,PPO,7.535,-33.458187,0.8717723,
Mountain Car Continuous,10000,TD3,73.799,-0.00585588,0,
Mountain Car Continuous,10000,DDPG,65.561,-0.00024594,0,
Mountain Car Continuous,10000,A2C,8.797,-19.069592,0.3803642,
Mountain Car Continuous,10000,SAC,120.352,-19.712421,0.7621958,
Mountain Car Continuous,10000,DQN,,,,
Mountain Car Continuous,20000,PPO,13.077,-15.851764,0.54710174,
Mountain Car Continuous,20000,TD3,123.487,-0.01570409,0,
Mountain Car Continuous,20000,DDPG,133.489,-0.0088933,,
Mountain Car Continuous,20000,A2C,15.657,-4.310563,0.20037623,
Mountain Car Continuous,20000,SAC,205.049,-1.8934644,0.05643269,
Mountain Car Continuous,20000,DQN,,,,
Mountain Car Continuous,50000,PPO,30.487,-1.781049,0.01631226,
Mountain Car Continuous,50000,TD3,408.812,-0.00468354,0,
Mountain Car Continuous,50000,DDPG,438.81,-0.00773759,0,
Mountain Car Continuous,50000,A2C,40.239,-0.09516143,0.00397818,
Mountain Car Continuous,50000,SAC,745.641,-0.8064345,0.037644,
Mountain Car Continuous,50000,DQN,,,,
Mountain Car Continuous,100000,PPO,62.002,-0.08407043,0.00442174,
Mountain Car Continuous,100000,TD3,636.754,-0.04306185,0.00810513,
Mountain Car Continuous,100000,DDPG,616.797,-0.00650486,0,
Mountain Car Continuous,100000,A2C,74.328,-0.0112479,0.00051765,
Mountain Car Continuous,100000,SAC,1031.626,-0.9040891,0.02779079,
Mountain Car Continuous,100000,DQN,,,,
Mountain Car Continuous,500000,PPO,320.397,-0.00047079,2.04E-05,
Mountain Car Continuous,500000,TD3,5078.819,-0.2582169,0,
Mountain Car Continuous,500000,DDPG,4816.87,-0.02352449,0,
Mountain Car Continuous,500000,A2C,472.705,-0.00036729,1.06E-05,
Mountain Car Continuous,500000,SAC,5345.503,-0.78420794,0.02601356,
Mountain Car Continuous,500000,DQN,,,,
Mountain Car Continuous,1000000,PPO,709.974,-0.00027401,1.89E-05,
Mountain Car Continuous,1000000,TD3,9145.836,-0.00773018,0,
Mountain Car Continuous,1000000,DDPG,8888.341,-0.01638026,0,
Mountain Car Continuous,1000000,A2C,1021.859,-99.89905,0,
Mountain Car Continuous,1000000,SAC,11336.933,-0.8047203,0.04670065,
Mountain Car Continuous,1000000,DQN,,,,
,,,,,,
Pendulum,10000,PPO,7.11,-1010.1453,147.16849,
Pendulum,10000,TD3,58.249,-99.464005,49.376087,
Pendulum,10000,DDPG,56.327,-213.75525,86.96872,
Pendulum,10000,A2C,8.89,-1205.929,79.83441,
Pendulum,10000,SAC,100.71,-167.85419,60.964664,
Pendulum,10000,DQN,,,,
Pendulum,20000,PPO,13.649,-1176.8657,122.546524,
Pendulum,20000,TD3,114.616,-158.25522,103.75977,
Pendulum,20000,DDPG,129.241,-125.215355,4.2916355,
Pendulum,20000,A2C,16.391,-1552.9423,47.163765,
Pendulum,20000,SAC,202.841,-122.2829,76.810715,
Pendulum,20000,DQN,,,,
Pendulum,50000,PPO,32.591,-1096.0477,130.55757,
Pendulum,50000,TD3,347.079,-128.59055,103.51844,
Pendulum,50000,DDPG,335.406,-142.25974,43.80775,
Pendulum,50000,A2C,42.703,-1092.6876,103.3287,
Pendulum,50000,SAC,685.293,-167.93883,58.443146,
Pendulum,50000,DQN,,,,
Pendulum,100000,PPO,67.979,-1283.3396,244.36072,
Pendulum,100000,TD3,592.579,-123.48073,73.771164,
Pendulum,100000,DDPG,581.286,-1564.0007,94.51858,
Pendulum,100000,A2C,79.654,-1588.2639,17.817741,
Pendulum,100000,SAC,995.789,-143.32939,107.34068,
Pendulum,100000,DQN,,,,
Pendulum,500000,PPO,366.143,-99.7776,91.72012,
Pendulum,500000,TD3,3336.232,-141.86746,41.581184,
Pendulum,500000,DDPG,3227.972,-75.71929,59.664078,
Pendulum,500000,A2C,392.749,-974.1502,512.5116,
Pendulum,500000,SAC,5046.366,-186.14832,54.50403,
Pendulum,500000,DQN,,,,
Pendulum,1000000,PPO,614.946,-175.3466,59.542854,
Pendulum,1000000,TD3,6699.73,-225.17427,61.91803,
Pendulum,1000000,DDPG,6437.352,-124.81355,75.283806,
Pendulum,1000000,A2C,802.716,-1399.9338,113.25851,
Pendulum,1000000,SAC,10172.514,-166.2122,58.18819,
Pendulum,1000000,DQN,,,,
,,,,,,
Bipedal Hardcore,10000,PPO,9.22,-104.67305,4.491482,
Bipedal Hardcore,10000,TD3,63.395,-115.39807,0.92441785,
Bipedal Hardcore,10000,DDPG,68.715,-140.74678,1.4989604,
Bipedal Hardcore,10000,A2C,10.367,-103.148254,6.756039,
Bipedal Hardcore,10000,SAC,100.931,-99.28334,2.7196417,
Bipedal Hardcore,10000,DQN,,,,
Bipedal Hardcore,20000,PPO,18.36,-118.365906,5.597472,
Bipedal Hardcore,20000,TD3,133.158,-181.72556,0.17128104,
Bipedal Hardcore,20000,DDPG,120.588,-168.34404,44.83636,
Bipedal Hardcore,20000,A2C,20.34,-107.75484,13.740048,
Bipedal Hardcore,20000,SAC,205.325,-88.35408,13.789682,
Bipedal Hardcore,20000,DQN,,,,
Bipedal Hardcore,50000,PPO,44.772,-89.725235,8.069056,
Bipedal Hardcore,50000,TD3,353.662,-115.5546,10.398283,
Bipedal Hardcore,50000,DDPG,336.422,-134.34836,16.850655,
Bipedal Hardcore,50000,A2C,50.929,-108.81057,13.448516,
Bipedal Hardcore,50000,SAC,571.452,-71.863686,1.4306403,
Bipedal Hardcore,50000,DQN,,,,
Bipedal Hardcore,100000,PPO,95.736,-104.01976,13.515086,
Bipedal Hardcore,100000,TD3,672.533,-122.632614,7.995002,
Bipedal Hardcore,100000,DDPG,632.583,-107.30672,1.9462306,
Bipedal Hardcore,100000,A2C,101.45,-104.606155,1.899964,
Bipedal Hardcore,100000,SAC,1182.321,-97.31757,6.981339,
Bipedal Hardcore,100000,DQN,,,,
Bipedal Hardcore,500000,PPO,418.3,-79.70442,28.931032,
Bipedal Hardcore,500000,TD3,3453.223,-58.86867,2.9186945,
Bipedal Hardcore,500000,DDPG,3346.663,-175.23311,33.605976,
Bipedal Hardcore,500000,A2C,509.817,-153.19597,4.8266616,
Bipedal Hardcore,500000,SAC,5146.764,-55.756226,25.953602,
Bipedal Hardcore,500000,DQN,,,,
Bipedal Hardcore,1000000,PPO,949.788,-47.339794,45.347595,
Bipedal Hardcore,1000000,TD3,7904.055,-122.74721,23.953484,
Bipedal Hardcore,1000000,DDPG,6696.52,-102.45048,36.718746,
Bipedal Hardcore,1000000,A2C,1424.354,-106.96324,1.7326553,
Bipedal Hardcore,1000000,SAC,10328.346,-72.845474,20.897669,
Bipedal Hardcore,1000000,DQN,,,,
